sample,sample_code,year,state,field,city,lat,lon,cultivar,crop_system,previous_crop,substrate,FCSC,FFSC,FGSC,FIESC,n_isolates,Complex,n_complex,MON,DON,AcDON,DON_total,HT-2,T-2,NEO,ZEA,ENN B,ENN B1,ENN A1,ENN A,BEA,FUM B1,FUM B2
KR17,15GO027,2015,GO (29),27,Brazabrantes,-16.42875,-49.385889,BRS Fronteira,Irrigated,rice,kernel,2,0,0,1,3,FCSC+FIESC,2,NA,8.5,60.8,69.3,NA,NA,0.5,0.8,NA,NA,NA,NA,18.6,NA,0.001
KR82,16RS008,2016,RS (28),8,Pelotas,-31.61123,-52.150841,Guri,Irrigated,rice,kernel,0,0,3,1,4,FGSC+FIESC,2,NA,NA,69.8,69.8,0.5,NA,0.001,0.8,NA,NA,NA,NA,4.1,NA,NA
KR81,16RS007,2016,RS (28),7,Pelotas,-31.61463,-52.16738,Puitá,Irrigated,rice,kernel,1,0,0,1,2,FCSC+FIESC,2,NA,NA,31.5,31.5,0.6,NA,0.5,0.8,NA,NA,NA,NA,2.6,NA,NA
KR60,15RS019,2015,RS (28),19,Quaraí,-30.38778,-56.450833,NA,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,NA,52.1,52.1,5.8,NA,0.5,0.7,NA,NA,NA,NA,16.6,NA,NA
KR96,16SP003,2016,SP (5),3,Roseira,-22.900797 ,-45.308995,Epagri 117,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,NA,22.6,22.6,NA,0.5,NA,0.7,NA,NA,NA,NA,8.9,0.001,NA
KR74,15RS049,2015,RS (28),49,Santa Vitória do Palmar,-33.52588,-53.372174,NA,Irrigated,rice,kernel,0,1,0,1,2,FFSC+FIESC,2,NA,NA,158.6,158.6,9.1,1.9,0.9,0.7,NA,NA,NA,NA,7.6,NA,0.001
KR28,15GO041,2015,GO (29),41,Brazabrantes,-16.42875,-49.385889,BRS Pelotas,Irrigated,rice,kernel,6,1,0,0,7,FCSC+FFSC,2,NA,17.4,52,69.4,0.8,NA,0.5,0.7,NA,NA,NA,NA,5.6,NA,0.001
KR25,15GO038,2015,GO (29),38,Brazabrantes,-16.42875,-49.385889,Irga 423,Irrigated,rice,kernel,1,0,0,0,1,FCSC,1,NA,10.7,98.5,109.2,NA,NA,0.001,0.7,NA,NA,0.001,NA,2.6,NA,NA
KR58,15RS017,2015,RS (28),17,Uruguaiana,-29.75500,-57.087778,NA,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,NA,69.5,69.5,4.3,0.6,0.001,0.7,NA,NA,0.001,NA,0.7,NA,0.001
KR02,15GO002,2015,GO (29),2,Brazabrantes,-16.42875,-49.385889,BRS Sertaneja,High lands,soybean,kernel,0,1,0,0,1,FFSC,1,NA,NA,16.8,16.8,1.5,NA,0.001,0.7,NA,NA,NA,NA,NA,NA,NA
KR102,16TO002,2016,TO (7),2,Lagoa da Confusão,-10.78394,-48.254094,IRGA 424,Irrigated,"rice, watermelon, soybean",kernel,3,0,0,0,3,FCSC,1,NA,0.001,19.8,19.801,NA,NA,0.001,0.7,NA,NA,NA,NA,NA,NA,NA
KR64,15RS034,2015,RS (28),34,Camaquã,-30.85070,-51.814601,NA,Irrigated,rice,kernel,0,0,0,1,1,FIESC,1,NA,NA,11.8,11.8,1.2,NA,0.001,0.6,0.001,NA,NA,NA,9.6,NA,NA
